[2023-01-23 20:02:18,792] 	INFO 	36 	training.py 	get_pipeline_config() 	Pipeline configuration: PipelineConfig(pipeline_name='amazon_reviews', artifact_dir='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact')
[2023-01-23 20:02:29,873] 	INFO 	185 	data_ingestion.py 	download_data() 	Failed to download hence retry again.
[2023-01-23 20:02:32,887] 	INFO 	164 	data_ingestion.py 	download_data() 	Starting download operation: DownloadUrl(url='https://datasets-server.huggingface.co/first-rows?dataset=amazon_us_reviews&config=Apparel_v1_00&split=train', file_path='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\20230123_200104\\downloaded_files\\test.json', n_retry=3)
[2023-01-23 20:02:34,192] 	INFO 	174 	data_ingestion.py 	download_data() 	Started writing downloaded data into json file: D:\MLProjectNeuron\dataTrials\aws_review_artifact\data_ingestion\20230123_200104\downloaded_files\test.json
[2023-01-23 20:02:34,195] 	INFO 	185 	data_ingestion.py 	download_data() 	Failed to download hence retry again.
[2023-01-23 20:02:37,208] 	INFO 	164 	data_ingestion.py 	download_data() 	Starting download operation: DownloadUrl(url='https://datasets-server.huggingface.co/first-rows?dataset=amazon_us_reviews&config=Apparel_v1_00&split=train', file_path='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\20230123_200104\\downloaded_files\\test.json', n_retry=2)
[2023-01-23 20:02:38,286] 	INFO 	174 	data_ingestion.py 	download_data() 	Started writing downloaded data into json file: D:\MLProjectNeuron\dataTrials\aws_review_artifact\data_ingestion\20230123_200104\downloaded_files\test.json
[2023-01-23 20:02:38,289] 	INFO 	185 	data_ingestion.py 	download_data() 	Failed to download hence retry again.
[2023-01-23 20:02:41,307] 	INFO 	164 	data_ingestion.py 	download_data() 	Starting download operation: DownloadUrl(url='https://datasets-server.huggingface.co/first-rows?dataset=amazon_us_reviews&config=Apparel_v1_00&split=train', file_path='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\20230123_200104\\downloaded_files\\test.json', n_retry=1)
[2023-01-23 20:02:42,395] 	INFO 	174 	data_ingestion.py 	download_data() 	Started writing downloaded data into json file: D:\MLProjectNeuron\dataTrials\aws_review_artifact\data_ingestion\20230123_200104\downloaded_files\test.json
[2023-01-23 20:02:42,398] 	INFO 	185 	data_ingestion.py 	download_data() 	Failed to download hence retry again.
[2023-01-23 20:02:45,413] 	INFO 	164 	data_ingestion.py 	download_data() 	Starting download operation: DownloadUrl(url='https://datasets-server.huggingface.co/first-rows?dataset=amazon_us_reviews&config=Apparel_v1_00&split=train', file_path='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\20230123_200104\\downloaded_files\\test.json', n_retry=0)
[2023-01-23 20:02:46,510] 	INFO 	174 	data_ingestion.py 	download_data() 	Started writing downloaded data into json file: D:\MLProjectNeuron\dataTrials\aws_review_artifact\data_ingestion\20230123_200104\downloaded_files\test.json
[2023-01-23 20:02:46,513] 	INFO 	185 	data_ingestion.py 	download_data() 	Failed to download hence retry again.
[2023-01-23 20:02:46,514] 	INFO 	138 	data_ingestion.py 	retry_download_data() 	Unable to download file https://datasets-server.huggingface.co/first-rows?dataset=amazon_us_reviews&config=Apparel_v1_00&split=train
[2023-01-23 20:02:47,586] 	INFO 	94 	data_ingestion.py 	download_files() 	File download completed
[2023-01-23 20:02:47,586] 	INFO 	216 	data_ingestion.py 	initiate_data_ingestion() 	Converting and combining downloaded json into parquet file
[2023-01-23 20:02:47,587] 	INFO 	114 	data_ingestion.py 	convert_files_to_parquet() 	Parquet file will be created at: D:\MLProjectNeuron\dataTrials\aws_review_artifact\data_ingestion\feature_store\amazon_reviews
[2023-01-23 20:03:07,477] 	INFO 	202 	data_ingestion.py 	write_metadata() 	Writing metadata info into metadata file.
[2023-01-23 20:03:07,480] 	INFO 	206 	data_ingestion.py 	write_metadata() 	Metadata has been written.
[2023-01-23 20:03:07,480] 	INFO 	229 	data_ingestion.py 	initiate_data_ingestion() 	Data ingestion artifact: DataIngestionArtifact(feature_store_file_path='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\feature_store\\amazon_reviews', metadata_file_path='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\meta_info.yaml', download_dir='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\20230123_200104\\downloaded_files')
